,,,,Calvin College,,,,,,,,,,,,
2007,3.59,"(n=1,029)",25.8,(n=805),1181,(n=372),27%,202/751,,,,,,,,
2006,3.6,(n=997),25.9,(n=839),1217,(n=355),29%,236/816,,,,,,,,
2005,3.57,(n=992),25.8,(n=846),1213,(n=350),26%,212/815,,,,,,,,
Quartiles,,,,,,,,Table 12,,,,,,,,
,,,,,,,,SAT,,,,,,,,
,High School GPA,,,ACT Composite,,,Critical Reading & Math,,,,,,,,,
Year,25%,50%,75%,25%,50%,75%,25%,50%,75%,,,,,,,
2014,3.45,3.78,3.99,23,26,29,1080,1180,1290,,,,,,,
2013,3.43,3.75,3.97,23,26,29,1060,1170,1285,,,,,,,
2012,3.42,3.76,3.97,24,27,30,1080,1205,1330,,,,,,,
2011,3.33,3.68,3.94,23,26,29,1060,1185,1290,,,,,,,
2010,3.37,3.71,3.94,23,26,29,1080,1190,1300,,,,,,,
2009,3.34,3.7,3.93,23,26,29,1070,1210,1320,,,,,,,
2008,3.31,3.67,3.92,23,26,28,1100,1210,1300,,,,,,,
2007,3.32,3.66,3.92,23,26,28,1070,1190,1290,,,,,,,
2006,3.32,3.68,3.95,23,26,29,1100,1220,1330,,,,,,,
2005,3.32,3.66,3.91,23,26,28,1110,1220,1320,,,,,,,
,,,Calvin College,,,,,,,,,,,,,
,,,2014 Fall Day 10,,,,,,,,,,,,,
,,Faculty Characteristics 2005-2014,,,,,,,,,,,,,,
,,,,,,,,,,Table 13,,,,,,
,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,,,,
Total Faculty,398,403,407,418,395,388,384,394,367,345,,,,,,
Full Time Faculty1,309,313,322,320,326,319,312,302,291,275,,,,,,
,77.6%,77.7%,79.1%,76.6%,82.5%,82.2%,81.3%,76.6%,79.3%,79.7%,,,,,,
Part Time Faculty,89,90,85,98,69,69,72,92,76,70,,,,,,
,22.4%,22.3%,20.9%,23.4%,17.5%,17.8%,18.8%,23.4%,20.7%,20.3%,,,,,,
Characteristics of,,,,,,,,,,,,,,,,
Full Time Faculty:,,,,,,,,,,,,,,,,
Female,98,98,104,104,111,108,110,105,103,96,,,,,,
,31.7%,31.3%,32.3%,32.5%,34.0%,33.9%,35.3%,34.8%,35.4%,34.9%,,,,,,
Male,211,213,218,216,215,211,202,197,188,179,,,,,,
,68.3%,68.1%,67.7%,67.5%,66.0%,66.1%,64.7%,65.2%,64.6%,65.1%,,,,,,
Tenured,179,188,184,188,190,196,198,198,197,195,,,,,,
,57.9%,60.1%,57.1%,58.8%,58.3%,61.4%,63.5%,65.6%,67.7%,70.9%,,,,,,
Tenure Track,89,86,99,86,89,83,75,70,66,53,,,,,,
,28.8%,27.5%,30.7%,26.9%,27.3%,26.0%,24.0%,23.2%,22.7%,19.3%,,,,,,
Term Appointment,41,37,39,46,47,40,39,34,28,27,,,,,,
,13.3%,11.8%,12.1%,14.4%,14.4%,12.5%,12.5%,11.3%,9.6%,9.8%,,,,,,
AHANA (Ethnic Minority),22,23,23,28,32,32,31,30,24,27,,,,,,
,7.1%,7.3%,7.1%,8.8%,9.8%,10.0%,9.9%,9.9%,8.2%,9.8%,,,,,,
Terminal Degree,252,261,266,260,268,263,259,251,246,234,,,,,,
,81.6%,83.4%,82.6%,81.3%,82.2%,82.4%,83.0%,83.1%,84.5%,85.1%,,,,,,
No Terminal Degree,57,50,56,60,58,56,53,51,45,41,,,,,,
,18.4%,16.0%,17.4%,18.8%,17.8%,17.6%,17.0%,16.9%,15.5%,14.9%,,,,,,
Professors,150,145,140,144,145,152,154,149,152,147,,,,,,
,48.5%,46.3%,43.5%,45.0%,44.5%,47.6%,49.4%,49.3%,52.2%,53.5%,,,,,,
Associate Professors,67,78,81,72,72,71,66,70,64,65,,,,,,
,21.7%,24.9%,25.2%,22.5%,22.1%,22.3%,21.2%,23.2%,22.0%,23.6%,,,,,,
Assistant Professors,84,82,96,96,100,90,82,79,72,63,,,,,,
,27.2%,26.2%,29.8%,30.0%,30.7%,28.2%,26.3%,26.2%,24.7%,22.9%,,,,,,
Instructors,8,6,5,8,9,6,10,4,3,0,,,,,,
,2.6%,1.9%,1.6%,2.5%,2.8%,1.9%,3.2%,1.3%,1.0%,0.0%,,,,,,
Student-Faculty Ratio,14.5:1,14.7:1,14.2:1,14.2:1,13.7:1,13.8:1,13.8:1,13.9:1,14.6:1,15.0:1,,,,,,
1,,,,,,,,,,,,,,,,
Deans in the Academic Affairs Division are not counted in this table.,,,,,,,,,,,,,,,,
,,,Calvin College,,,,,,,,,,,,,
,,,2014 Fall Day 10,,,,,,,,,,,,,
"Full-Time Faculty1 by Academic Department, 2010-2014",,,,,,,,,,,,,,,,
,,,,,,,,,,Table 14,,,,,,
,2010,% of FT,2011,% of FT,2012,% of FT,2013,% of FT,2014,% of FT,,,,,,
Department,Fall,Faculty,Fall,Faculty,Fall,Faculty,Fall,Faculty,Fall,Faculty,,,,,,
Art and Art History,10,3.2%,10,3.2%,10,3.3%,10,3.4%,10,3.6%,,,,,,
Biology,18,5.7%,17,5.4%,18,6.0%,17,5.8%,17,6.2%,,,,,,
Business,13,4.1%,13,4.2%,13,4.3%,13,4.5%,13,4.7%,,,,,,
Chemistry and,,,,,,,,,,,,,,,,
,13,4.1%,13,4.2%,13,4.3%,14,4.8%,13,4.7%,,,,,,
Biochemistry,,,,,,,,,,,,,,,,
Classical Languages,4,1.3%,4,1.3%,4,1.3%,3,1.0%,2,0.7%,,,,,,
Communications Arts,,,,,,,,,,,,,,,,
,20,6.3%,18,5.8%,17,5.6%,18,6.2%,17,6.2%,,,,,,
and Sciences,,,,,,,,,,,,,,,,
Computer Science,7,2.2%,7,2.2%,7,2.3%,6,2.1%,6,2.2%,,,,,,
Economics,9,2.8%,9,2.9%,8,2.6%,7,2.4%,6,2.2%,,,,,,
Education,14,4.4%,12,3.8%,14,4.6%,14,4.8%,14,5.1%,,,,,,
Engineering,15,4.7%,15,4.8%,15,5.0%,15,5.2%,14,5.1%,,,,,,
English,21,6.6%,22,7.1%,22,7.3%,22,7.6%,16,5.8%,,,,,,
French,5,1.6%,5,1.6%,4,1.3%,3,1.0%,3,1.1%,,,,,,
"Geology, Geography",,,,,,,,,,,,,,,,
,9,2.8%,9,2.9%,8,2.6%,6,2.1%,6,2.2%,,,,,,
and Environ. Studies,,,,,,,,,,,,,,,,
Germanic and Asian,,,,,,,,,,,,,,,,
,6,1.9%,6,1.9%,7,2.3%,6,2.1%,6,2.2%,,,,,,
Languages,,,,,,,,,,,,,,,,
History,16,5.0%,15,4.8%,14,4.6%,12,4.1%,12,4.4%,,,,,,
Kinesiology,17,5.4%,17,5.4%,16,5.3%,16,5.5%,15,5.5%,,,,,,
Mathematics and,,,,,,,,,,,,,,,,
,14,4.4%,14,4.5%,12,4.0%,11,3.8%,11,4.0%,,,,,,
Statistics,,,,,,,,,,,,,,,,
Music,13,4.1%,13,4.2%,13,4.3%,12,4.1%,11,4.0%,,,,,,
Nursing,12,3.8%,12,3.8%,13,4.3%,13,4.5%,10,3.6%,,,,,,
Philosophy,14,4.4%,14,4.5%,12,4.0%,11,3.8%,11,4.0%,,,,,,
Physics,7,2.2%,8,2.6%,7,2.3%,6,2.1%,6,2.2%,,,,,,
Political Science,6,1.9%,7,2.2%,4,1.3%,5,1.7%,5,1.8%,,,,,,
Psychology,12,3.8%,12,3.8%,11,3.6%,11,3.8%,13,4.7%,,,,,,
Religion,15,4.7%,14,4.5%,13,4.3%,13,4.5%,11,4.0%,,,,,,
Sociology,6,1.9%,5,1.6%,6,2.0%,6,2.1%,6,2.2%,,,,,,
Social Work,5,1.6%,4,1.3%,4,1.3%,4,1.4%,4,1.5%,,,,,,
Spanish,13,4.1%,14,4.5%,12,4.0%,12,4.1%,12,4.4%,,,,,,
Other2,3,0.9%,3,1.0%,5,1.7%,5,1.7%,5,1.8%,,,,,,
Total Full-Time,,,,,,,,,,,,,,,,
,317,100%,312,100%,302,100%,291,100%,275,100%,,,,,,
Faculty,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
Deans in the Academic Affairs Division are not counted in this table.,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
"Includes Faculty in Congregational and Ministry, International Development, and Student Academic Services",,,,,,,,,,,,,,,,
,,,Calvin College,,,,,,,,,,,,,
,,,2014 Fall Day 10,,,,,,,,,,,,,
,"Semester Hour Enrollment by Department, 2010-2014",,,,,,,,,,,,,,,
,,,,,,,,,,Table 15,,,,,,
,,% of,,% of,,% of,,% of,,,% of,,,,,
Department,2010,Total,2011,Total,2012,Total,2013,Total,2014,,Total,,,,,
Art and Art History,1659,3.0%,1441,2.6%,1215,2.2%,1201,2.2%,1245,,2.2%,,,,,
Biology,3258,5.8%,3741,6.8%,3494,6.3%,3604,6.5%,3690,,6.6%,,,,,
Business,3415,6.1%,3198,5.8%,3093,5.5%,3111,5.6%,3497,,6.2%,,,,,
Chemistry and,,,,,,,,,,,,,,,,
,2721,4.9%,2736,5.0%,3169,5.7%,3236,5.8%,2910,,5.2%,,,,,
Biochemistry,,,,,,,,,,,,,,,,
Classical Languages,606,1.1%,409,0.7%,579,1.0%,556,1.0%,514,,0.9%,,,,,
Communications Arts,,,,,,,,,,,,,,,,
,3327,6.0%,3637,6.6%,4028,7.2%,4155,7.4%,4326,,7.7%,,,,,
and Sciences,,,,,,,,,,,,,,,,
Computer Science,1092,2.0%,1253,2.3%,1530,2.7%,1667,3.0%,1699,,3.0%,,,,,
Economics,1233,2.2%,1231,2.2%,1396,2.5%,1250,2.2%,1333,,2.4%,,,,,
Education,2587,4.6%,2519,4.6%,2160,3.9%,2116,3.8%,2201,,3.9%,,,,,
Engineering,2098,3.8%,2214,4.0%,2122,3.8%,2477,4.4%,2624,,4.7%,,,,,
English,3991,7.1%,3640,6.6%,4213,7.6%,3549,6.4%,3381,,6.0%,,,,,
French,523,0.9%,573,1.0%,552,1.0%,425,0.8%,587,,1.0%,,,,,
"Geology, Geography",,,,,,,,,,,,,,,,
,1088,1.9%,1191,2.2%,1227,2.2%,1064,1.9%,1304,,2.3%,,,,,
and Environ. Studies,,,,,,,,,,,,,,,,
Germanic and Asian,,,,,,,,,,,,,,,,
,1209,2.2%,1171,2.1%,1012,1.8%,1285,2.3%,992,,1.8%,,,,,
Languages,,,,,,,,,,,,,,,,
History,2309,4.1%,2080,3.8%,1899,3.4%,1800,3.2%,1812,,3.2%,,,,,
Interdisciplinary,1323,2.4%,1250,2.3%,1384,2.5%,1379,2.5%,1330,,2.4%,,,,,
Kinesiology,2567,4.6%,2486,4.5%,2470,4.4%,2668,4.8%,2565,,4.6%,,,,,
Mathematics and,,,,,,,,,,,,,,,,
,3311,5.9%,2930,5.3%,3039,5.4%,3100,5.6%,3157,,5.6%,,,,,
Statistics,,,,,,,,,,,,,,,,
Music,998,1.8%,1243,2.3%,1190,2.1%,1094,2.0%,1408,,2.5%,,,,,
Nursing,1476,2.6%,1560,2.8%,1575,2.8%,1480,2.7%,1515,,2.7%,,,,,
Philosophy,2005,3.6%,2046,3.7%,1992,3.6%,2082,3.7%,1719,,3.1%,,,,,
Physics,1201,2.2%,1062,1.9%,1256,2.3%,1326,2.4%,1146,,2.0%,,,,,
Political Science,916,1.6%,857,1.6%,709,1.3%,690,1.2%,711,,1.3%,,,,,
Psychology,2842,5.1%,2862,5.2%,2618,4.7%,2664,4.8%,2720,,4.9%,,,,,
Religion,2817,5.0%,2637,4.8%,2742,4.9%,2760,4.9%,2610,,4.7%,,,,,
Sociology,1388,2.5%,1126,2.1%,1104,2.0%,1136,2.0%,1054,,1.9%,,,,,
Social Work,770,1.4%,850,1.5%,968,1.7%,869,1.6%,939,,1.7%,,,,,
Spanish,2330,4.2%,2249,4.1%,2198,3.9%,2134,3.8%,2185,,3.9%,,,,,
1,,,,,,,,,,,,,,,,
Other,771,1.4%,707,1.3%,837,1.5%,917,1.6%,822,,1.5%,,,,,
Total,55831,hours,54899,hours,55771,hours,55795,hours,55996,hours,,,,,,
"1 Other can include Congregational and Ministry Studies, International Development",,,,,,,,,,,,,,,,
"Studies, Less Commonly Taught Languages, Public Health, and Science Education",,,,,,,,,,,,,,,,
,,,Calvin College,,,,,,,,,,,,,
,,,2014 Fall Day 10,,,,,,,,,,,,,
"Students per Faculty Member1 by Department, 2010-2014",,,,,,,,,,,,,,,,
,,,,,,,,,,Table 16,,,,,,
,,Diff,,Diff,,Diff,,Diff,,Diff,,,,,,
,2010,from,2011,from,2012,from,2013,from,2014,from,,,,,,
Department,Fall,Overall,Fall,Overall,Fall,Overall,Fall,Overall,Fall,Overall,,,,,,
Art and Art History,12.3,-1.5,11,-2.8,10,-3.9,11.4,-3.2,9.8,-5.2,,,,,,
Biology,15.5,1.7,16.5,2.8,16.6,2.7,17.6,2.9,16.5,1.5,,,,,,
Business,19.2,5.5,17.1,3.4,17.4,3.5,17,2.3,17.7,2.7,,,,,,
Chemistry and,,,,,,,,,,,,,,,,
,17.3,3.5,16.8,3,19.4,5.5,18,3.4,16.4,1.4,,,,,,
Biochemistry,,,,,,,,,,,,,,,,
Classical Languages,13,-0.8,8.8,-5,11.3,-2.6,11.4,-3.3,12.5,-2.5,,,,,,
Communications Arts and,,,,,,,,,,,,,,,,
,13.4,-0.3,14.4,0.7,16,2.1,15.2,0.5,15.7,0.7,,,,,,
Sciences,,,,,,,,,,,,,,,,
Computer Science,13,-0.8,14.1,0.4,16.4,2.5,17.3,2.7,17.6,2.6,,,,,,
Economics,12.6,-1.2,13.9,0.1,17.1,3.2,18.2,3.5,16.3,1.3,,,,,,
Education,13.2,-0.6,13.8,0.1,10.3,-3.6,11.5,-3.2,12.9,-2.1,,,,,,
Engineering,11.5,-2.2,12.7,-1.1,12,-2,13.5,-1.2,13.5,-1.5,,,,,,
English,13,-0.8,13.9,0.2,12.5,-1.4,13.2,-1.4,15.4,0.4,,,,,,
French,9.3,-4.4,8.8,-5,10.7,-3.2,11.9,-2.7,12.4,-2.6,,,,,,
"Geology, Geography and",,,,,,,,,,,,,,,,
,13.3,-0.5,14.2,0.4,15.9,2,15.6,1,14.9,-0.1,,,,,,
Environ. Studies,,,,,,,,,,,,,,,,
Germanic and Asian,,,,,,,,,,,,,,,,
,12.3,-1.5,11.4,-2.4,9.9,-4.1,10.3,-4.3,9.6,-5.4,,,,,,
Languages,,,,,,,,,,,,,,,,
History,14.1,0.4,13.4,-0.4,17.5,3.6,18,3.3,14.1,-0.9,,,,,,
Interdisciplinary,15.8,2,14.9,1.1,14.1,0.2,19.3,4.7,23.7,8.7,,,,,,
Kinesiology,15.7,1.9,16.1,2.4,16,2.1,17.8,3.2,18.7,3.7,,,,,,
Mathematics and Statistics,18.2,4.4,16.8,3,18.6,4.7,18.7,4.1,20.8,5.8,,,,,,
Music,6.6,-7.2,8.1,-5.7,7.7,-6.2,7.6,-7.1,8.9,-6.1,,,,,,
Nursing,7.3,-6.5,6.5,-7.3,5.8,-8.1,6.1,-8.5,7.4,-7.6,,,,,,
Philosophy,13.9,0.1,16.2,2.5,16.4,2.5,17,2.4,16.3,1.4,,,,,,
Physics,14.1,0.4,12.6,-1.2,17.9,4,16.1,1.5,17.2,2.2,,,,,,
Political Science,12.3,-1.5,13.1,-0.7,11.7,-2.2,12.9,-1.7,13.5,-1.5,,,,,,
Psychology,17.9,4.1,17.5,3.8,17.5,3.6,18.3,3.7,18.6,3.6,,,,,,
Religion,15.9,2.1,16.1,2.4,15.9,2,17.8,3.1,19.4,4.4,,,,,,
Sociology,18.6,4.8,17.2,3.5,18.2,4.3,18.2,3.6,18.2,3.2,,,,,,
Social Work,10.3,-3.5,13,-0.8,13,-1,15.9,1.3,15.7,0.7,,,,,,
Spanish,12.8,-1,12.7,-1.1,12.1,-1.8,12.4,-2.2,12.9,-2.1,,,,,,
Other2,11.8,-2,11.7,-2.1,12.8,-1.1,13.2,-1.4,13.7,-1.3,,,,,,
Overall Students per,,,,,,,,,,,,,,,,
,13.77,,13.77,,13.91,,14.63,,14.99,,,,,,,
Faculty,,,,,,,,,,,,,,,,
1 The algorithm for computing student-faculty ratio was changed this year to better account for the variation in faculty loads in semester,,,,,,,,,,,,,,,,
hours and also in how part-time teaching is counted. The difference in the ratio computed by this new method from that computed by,,,,,,,,,,,,,,,,
the old method would in most instances be small.,,,,,,,,,,,,,,,,
"2 Other can include International Development, Less Commonly Taught Languages, Congregational & Ministry, Public Health and",,,,,,,,,,,,,,,,
Science Education,,,,,,,,,,,,,,,,
